title,media,date,datetime,desc,link,img,sentiment polarity,sentiment subjectivity
"Trump threatens to veto major defense bill unless Congress repeals Section 230, a legal shield for tech giants",Washington Post,2 weeks ago,2020-12-01 15:03:07.189219,"What is Section 230, the law at the center of Trump's executive order aimed at social media? President Trump on May 28 signed an executive order ...",https://www.washingtonpost.com/technology/2020/12/01/trump-repeal-section-230-ndaa/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13125,0.35
Dr. Scott Atlas resigns from Trump administration,CNN,2 weeks ago,2020-12-01 15:03:07.182238,A source familiar with what happened told CNN that Atlas turned in his resignation letter to President Donald Trump on Monday. As a special government ...,https://www.cnn.com/2020/11/30/politics/scott-atlas-resigns-trump-administration-coronavirus-task-force/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Trump's baseless claims of Georgia voter fraud spark fears among Republicans,The Guardian,2 weeks ago,2020-12-01 15:03:03.951618,"Trump's baseless claims of Georgia voter fraud spark fears among Republicans. As Trump suffers another post-election court defeat, some Republicans worry he ...",https://www.theguardian.com/us-news/2020/nov/27/trump-georgia-senate-runoff-election,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Trump says for first time he'll leave office if Electoral College votes for Biden,CNN International,2 weeks ago,2020-12-01 15:03:00.281132,"The GSA letter marked the first step the administration has taken to acknowledge Trump's defeat. The President, however, tweeted moments after the letter was ...",https://edition.cnn.com/2020/11/26/politics/trump-leave-office-electoral-college/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333
Trump’s baseless election fraud claims in Georgia turn Senate runoffs into a ‘high-wire act’ for Republicans,Washington Post,2 weeks ago,2020-12-01 15:02:59.072926,"Trump's blessing goes far here,” said the Rev. Benny Tate of Rock Springs Church, who has been traveling with Perdue on campaign stops and prayed before ...",https://www.washingtonpost.com/politics/trump-fraud-claims-georgia-republicans-run-offs-perdue-loeffler/2020/11/26/0c4d6b3a-2f30-11eb-bae0-50bb17126614_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Trump sues to reverse Biden win in Wisconsin,CNBC,2 weeks ago,2020-12-01 15:02:55.411933,President Trump's campaign filed a lawsuit in Wisconsin seeking to invalidate President-elect Joe Biden's win there. The suit asks the Wisconsin Supreme Court ...,https://www.cnbc.com/2020/12/01/trump-campaign-files-election-lawsuit-in-wisconsin-after-state-declares-biden-won-.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.8,0.4
Trump says his election challenges probably won't make it to the Supreme Court,CNBC,2 weeks ago,2020-12-01 15:02:54.214214,President Donald Trump acknowledged his vanishing path to overturning the results of the 2020 election in court on Sunday during his first full interview since ...,https://www.cnbc.com/2020/11/29/trump-acknowledges-the-supreme-court-.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Fox News' Maria Bartiromo gave Trump his first TV interview since the election. It was filled with lies,CNN,2 weeks ago,2020-12-01 15:02:54.212219,"New York (CNN Business) President Donald Trump on Sunday spoke with Fox ... opened the interview with a question about election fraud, telling Trump, ""The ...",https://www.cnn.com/2020/11/29/media/bartiromo-trump-interview/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.325,0.6166666666666667
Republicans turn to Biden transition as Trump's legal options ...,The Straits Times,2 weeks ago,2020-12-01 15:02:54.211222,"Trump's comments in a telephone interview with Fox News Channel came as Republican Senator Roy Blunt, chair of the Joint Congressional Committee on ...",https://www.straitstimes.com/world/united-states/republicans-turn-to-biden-transition-as-trumps-legal-options-dwindle,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.2
"Donald Trump Jr. Positive for Coronavirus, Said to Be Doing Well",Bloomberg,3 weeks ago,2020-11-24 15:03:07.187224,"President Donald Trump's oldest son, Donald Trump Jr., tested positive for coronavirus earlier this week and is isolating, according to three people familiar with ...",https://www.bloomberg.com/news/articles/2020-11-20/donald-trump-jr-infected-by-coronavirus-and-in-isolation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.22727272727272727,0.5454545454545454
"Trump Pardons Michael Flynn, Who Pleaded Guilty To Lying ...",NPR,3 weeks ago,2020-11-24 15:03:05.959687,"Trump's action on Wednesday may open the door to possible clemency for other former advisers who were indicted as part of the Russia investigation, including ...",https://www.npr.org/2020/11/25/823893821/trump-pardons-michael-flynn-who-pleaded-guilty-to-lying-about-russia-contact,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.5,1.0
Trump's election lies are an attempted coup. Biden and other Democrats should say so.,NBCNews.com,3 weeks ago,2020-11-24 15:03:02.814801,"No, Trump's No. 1 goal is to overturn the results of the 2020 election. It's time for Biden and other Democratic leaders to describe his actions in the most forceful ...",https://www.nbcnews.com/think/opinion/trump-s-election-lies-are-attempted-coup-biden-other-democrats-ncna1248573,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375
Trump Election Results: Tensions Rise as Allies Attack Process,The New York Times,3 weeks ago,2020-11-24 15:03:00.276144,"President Trump's false accusations that voter fraud denied him re-election are causing escalating confrontations in swing states across the country, leading to ...",https://www.nytimes.com/2020/11/18/us/politics/trump-election.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
"Biden tears into Trump's refusal to concede, meets with governors about Covid",NBC News,3 weeks ago,2020-11-24 15:03:00.274150,"Biden tears into Trump's refusal to concede, meets with governors about Covid. Trump, however, again had no public events on his schedule. There are 62 days ...",https://www.nbcnews.com/politics/white-house/biden-harris-meet-governors-trump-again-has-no-public-events-n1248222,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
The Real Meaning of Trump's Post-Election Defiance,Foreign Policy,3 weeks ago,2020-11-24 15:03:00.273153,"It will be some time before members of U.S. President Donald Trump's shrinking inner circle publish their tell-all memoirs recounting, in lurid detail, how the White ...",https://foreignpolicy.com/2020/11/19/the-real-meaning-of-trumps-post-election-defiance/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.30000000000000004
Trump threatens to wreak havoc on GOP from beyond the White House,Politico,3 weeks ago,2020-11-24 15:02:59.073953,Trump's attacks on Govs. Brian Kemp of Georgia and Mike DeWine Ohio — both of whom are up for reelection in 2022 — has led to broader concerns within the ...,https://www.politico.com/news/2020/11/22/trump-wreak-havoc-gop-white-house-438859,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Almost no Trump voters consider Biden the legitimate 2020 election winner,CNBC,3 weeks ago,2020-11-24 15:02:55.409939,The findings underscore the harm Trump's unsubstantiated claims have done to confidence in the U.S. electoral system.,https://www.cnbc.com/2020/11/23/2020-election-results-almost-no-trump-voters-consider-biden-the-winner.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
"Out Of Office, Trump Could Face Significant Legal Peril",NPR,3 weeks ago,2020-11-24 15:02:54.220198,"It stems from the federal prosecution against Michael Cohen, Trump's onetime personal attorney and fixer. Cohen pleaded guilty to a range of crimes, including ...",https://www.npr.org/2020/11/20/937044524/once-out-of-office-trump-faces-significant-legal-peril,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2875,0.5375
Biden’s Stock Market Is Off To A Faster Start Than Trump’s,Forbes,3 weeks ago,2020-11-24 15:02:54.216209,"when Trump was elected in 2016. Three timeframes to consider. Starting with the day after Trump's and Biden's respective election day, November 8 and 3, ...",https://www.forbes.com/sites/chuckjones/2020/11/24/bidens-stock-market-is-off-to-a-faster-start-than-trumps/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Trump told ally he's trying to get back at Democrats for questioning legitimacy of his own election,CNN,3 weeks ago,2020-11-24 15:02:54.215211,"(CNN) President Donald Trump told an ally that he knows he lost, but that he is delaying the transition process and is aggressively trying to sow doubt about the ...",https://www.cnn.com/2020/11/19/politics/trump-democrats-election/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3,0.5
Trump's bizarro-world 'elite strike force' legal challenge is about to implode,CNN,on · 3 weeks ago,2020-11-24 15:02:54.209227,"Trump's bizarro-world 'elite strike force' legal challenge is about to implode. Opinion by Elie Honig. Updated 4:07 PM ET, Mon November 23, 2020.",https://www.cnn.com/2020/11/23/opinions/trump-legal-challenge-election-honig/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.2
Trump campaign cuts Sidney Powell from president’s legal team,Politico,3 weeks ago,2020-11-24 15:02:51.290135,"“Sidney Powell is practicing law on her own,” Trump's personal lawyer Rudy Giuliani and campaign lawyer Jenna Ellis said in the statement. “She is not a member ...",https://www.politico.com/news/2020/11/22/trump-campaign-sidney-powell-legal-439357,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.2
"Trump fears Giuliani, other lawyers in Biden vote challenge are 'fools that are making him look bad'",CNBC,3 weeks ago,2020-11-24 15:02:51.287172,"President Donald Trump is worried his campaign's legal team, led by his personal lawyer Rudy Giuliani, is composed of “fools that are making him look bad,” ...",https://www.cnbc.com/2020/11/23/trump-fears-giuliani-and-other-biden-vote-challenge-lawyers-are-fools.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4124999999999999,0.5208333333333333
Trump Campaign Officials Started Pressuring Georgia's ...,ProPublica,4 weeks ago,2020-11-17 15:03:05.952735,"The Republican secretary of state, Brad Raffensperger, rejected repeated demands to endorse Trump. As the official overseeing the voting, he believed he ...",https://www.propublica.org/article/trump-campaign-officials-started-pressuring-georgias-secretary-of-state-long-before-the-election,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
Fears of foreign policy chaos in Trump's final days fueled by Iran bombing report,The Guardian,4 weeks ago,2020-11-17 15:03:03.942642,Fears of foreign policy chaos in Trump's final days fueled by Iran bombing report. The outgoing president reportedly asked for options on bombing Iran as ...,https://www.theguardian.com/us-news/2020/nov/17/trump-iran-bombing-option-report-new-york-times,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.0625,0.5625
"Trump Is Said to Be Preparing to Withdraw Troops From Afghanistan, Iraq and Somalia",The New York Times,4 weeks ago,2020-11-17 15:03:03.939679,Trump's longstanding desire to stop shouldering the cost of long-running military engagements against Islamist insurgencies in failed and fragile countries in Africa ...,https://www.nytimes.com/2020/11/16/us/politics/trump-troop-withdrawal-afghanistan-somalia-iraq.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0
